pr_number,issue_number,commit_date,author,title,body,closer,files
6327,6327,2023-11-07T22:53:12Z,Mr-Update,Update de.rs,,Mr-Update,src/lang/de.rs
6326,6326,2023-11-07T15:28:15Z,flusheDData,Update es.rs,New terms added,,src/lang/es.rs
6325,6325,2023-11-07T14:14:24Z,basilgello,Fixes for vcpkg-deps,"We switched to unmodified oboe. If that gives weird
errors, we can add oboe.patch into res/vcpkg/oboe.

Signed-off-by: Vasyl Gello <vasek.gello@gmail.com>
",rustdesk,".github/workflows/flutter-build.yml, .github/workflows/flutter-tag.yml, build.rs, flutter/build_android_deps.sh, res/vcpkg/libvpx/portfile.cmake, res/vcpkg/libvpx/vcpkg.json, res/vcpkg/oboe-wrapper/CMakeLists.txt, res/vcpkg/oboe-wrapper/oboe.cc, res/vcpkg/oboe-wrapper/portfile.cmake, res/vcpkg/oboe-wrapper/vcpkg.json, src/oboe.patch, vcpkg.json"
6323,6323,2023-11-07T12:17:41Z,basilgello,vcpkg deps,"- Revert ""Avoid double build of bridge fies""
- Revert ""CI: Remove flutter-elinux""
- Remove useless step for ios and document elinux need better
",,.github/workflows/flutter-build.yml
6322,6322,2023-11-07T11:36:27Z,BestiaPL,Update pl.rs,,,src/lang/pl.rs
6320,6320,2023-11-07T10:09:03Z,basilgello,vcpkg deps,"- Add cmake to vcpkg deps
- Add ninja to vcpkg deps
",,.github/workflows/flutter-build.yml
6319,6319,2023-11-07T10:02:38Z,basilgello,Add cmake to vcpkg deps,"Signed-off-by: Vasyl Gello <vasek.gello@gmail.com>
",,.github/workflows/flutter-build.yml
6318,6318,2023-11-07T09:56:25Z,basilgello,Add vcpkg deps (zip etc),"Signed-off-by: Vasyl Gello <vasek.gello@gmail.com>
",,.github/workflows/flutter-build.yml
6314,6314,2023-11-07T06:42:33Z,FastAct,Update nl.rs,,,src/lang/nl.rs
6313,6313,2023-11-07T04:21:03Z,fufesou,"fix, crash 3.13, windows, multidesktop","Tmp fix of https://github.com/rustdesk/rustdesk/issues/6273


",,.github/workflows/flutter-build.yml
6312,6312,2023-11-07T03:56:54Z,fufesou,"fix, remote tab menu",https://github.com/rustdesk/rustdesk/issues/6298#issuecomment-1793923005,fragtion,flutter/lib/desktop/widgets/tabbar_widget.dart
6310,6310,2023-11-07T02:24:31Z,21pages,fix install after connection,"1. Fix install after connection.  If there is a multiwindow which sets prevent close, std::process::exit() will not work, ipc is occupied but can't be connected. Close all sub windows before install. https://github.com/rustdesk/rustdesk/blob/c69f4ba4a2fa28ae2fb60739db9f39ea3ad384dd/src/ui_interface.rs#L92 

https://github.com/rustdesk/rustdesk/assets/14891774/7baad843-d4a1-470f-95b2-090183f7934f


https://github.com/rustdesk/rustdesk/assets/14891774/d39f8992-7074-4be7-ae26-667d3eeeb053

2. Fix issue with missing logs when a deleted directory name contains another directory name and they are in the same directory (e.g. /a/b and /a/bc)",rustdesk,"flutter/lib/desktop/pages/desktop_home_page.dart, flutter/lib/models/cm_file_model.dart, src/server/connection.rs"
6308,6308,2023-11-06T15:59:15Z,Kleofass,Update lv.rs,,,src/lang/lv.rs
6306,6306,2023-11-06T14:26:28Z,bovirus,Update Italian language,"@rustdesk 

Please check and merge. Thanks.",,src/lang/it.rs
6305,6305,2023-11-06T14:12:01Z,FastAct,Update nl.rs,,,src/lang/nl.rs
6304,6304,2023-11-06T11:23:44Z,yaseresmaeelpour,Update fa.rs,fix setup server tip message in farsi language,,src/lang/fa.rs
6303,6303,2023-11-06T07:38:04Z,21pages,Cm file createDir/delete log and block user input permission,"#5624
1. Cm add file createDir/delete log
2. Windows add block user input permission
3. Permission unified into `Enable...`,  capitalization has been unified in 1.2.4.


https://github.com/rustdesk/rustdesk/assets/14891774/2b6f8085-f23a-4bd1-9f40-b8e375d81147

![rustdesk_tKsgc2dX7t](https://github.com/rustdesk/rustdesk/assets/14891774/e1a0acb2-2705-4c66-bafd-928f34e7c859)

",,"flutter/lib/common/widgets/toolbar.dart, flutter/lib/desktop/pages/desktop_setting_page.dart, flutter/lib/desktop/pages/server_page.dart, flutter/lib/models/chat_model.dart, flutter/lib/models/cm_file_model.dart, flutter/lib/models/model.dart, flutter/lib/models/server_model.dart, libs/hbb_common/protos/message.proto, src/client/io_loop.rs, src/flutter.rs, src/ipc.rs, src/lang/ar.rs, src/lang/ca.rs, src/lang/cn.rs, src/lang/cs.rs, src/lang/da.rs, src/lang/de.rs, src/lang/el.rs, src/lang/eo.rs, src/lang/es.rs, src/lang/fa.rs, src/lang/fr.rs, src/lang/hu.rs, src/lang/id.rs, src/lang/it.rs, src/lang/ja.rs, src/lang/ko.rs, src/lang/kz.rs, src/lang/lt.rs, src/lang/lv.rs"
6297,6297,2023-11-05T23:31:13Z,BestiaPL,Update pl.rs,,,src/lang/pl.rs
6294,6294,2023-11-05T10:12:43Z,ClSlaid,docs: file copy paste explainations,This PR merely add documentations for file copy and paste module,,"README.md, libs/clipboard/README.md"
6289,6289,2023-11-05T01:13:40Z,crwusiz,kor_translation update,,,src/lang/ko.rs
6286,6286,2023-11-04T13:29:41Z,jxdv,update cs.rs,,,src/lang/cs.rs
6285,6285,2023-11-04T13:12:51Z,jxdv,update sk.rs,,,src/lang/sk.rs
6282,6282,2023-11-04T05:56:16Z,basilgello,Refactor vcpkg dependencies and get rid of thirdparty repos,"- Fix build on android-x86 and rename function
- Add custom ports not (yet) in upstream vcpkg
- Refactor build_android_deps.sh
- Fix CI
",rustdesk,".github/workflows/bridge.yml, .github/workflows/ci.yml, .github/workflows/flutter-build.yml, .github/workflows/flutter-ci.yml, .github/workflows/flutter-nightly.yml, .github/workflows/flutter-tag.yml, .github/workflows/history.yml, .github/workflows/vcpkg-deps-linux.yml, build.py, build.rs, flutter/build_android_deps.sh, libs/scrap/build.rs, res/vcpkg/aom/aom-install.diff, res/vcpkg/aom/aom-rename-static.diff, res/vcpkg/aom/aom-uninitialized-pointer.diff, res/vcpkg/aom/portfile.cmake, res/vcpkg/aom/vcpkg.json, res/vcpkg/libvpx/0002-Fix-nasm-debug-format-flag.patch, res/vcpkg/libvpx/0003-add-uwp-v142-and-v143-support.patch, res/vcpkg/libvpx/0004-remove-library-suffixes.patch, res/vcpkg/libvpx/0005-fix-arm64-build.patch, res/vcpkg/libvpx/portfile.cmake, res/vcpkg/libvpx/unofficial-libvpx-config.cmake.in, res/vcpkg/libvpx/vcpkg.json, res/vcpkg/libvpx/vpx.pc.in, res/vcpkg/opus/fix-pkgconfig-version.patch, res/vcpkg/opus/portfile.cmake, res/vcpkg/opus/reinstate-opus-use-neon.patch, res/vcpkg/opus/vcpkg.json, vcpkg.json"
6279,6279,2023-11-03T15:14:07Z,sahilyeole,Fix: change view dropdown not working on macos clicking,"Fixes: https://github.com/rustdesk/rustdesk/pull/6165#issuecomment-1791516777

Trackpad soft touch + click both working now.",,flutter/lib/common/widgets/peer_tab_page.dart
6275,6275,2023-11-03T07:04:01Z,21pages,opt codec,"1. opt codec
* use src(display) width/height for YUV conversion, this is old hehaviour.
* Ensure alignment of destination YUV to prevent illegal memory access.
* Initialize yuvfmt when a new codec is created.
* Move remote reset functions from empty connections judge to empty remote connections judge.
2. More bitrate visible conditions same as fps, fix send initial fps when it is hidden.
3. opt close on taskbar, not call onWindowClose multi times",,"Cargo.lock, flutter/lib/common/widgets/dialog.dart, flutter/lib/common/widgets/setting_widgets.dart, flutter/lib/desktop/widgets/tabbar_widget.dart, libs/scrap/src/common/android.rs, libs/scrap/src/common/aom.rs, libs/scrap/src/common/convert.rs, libs/scrap/src/common/dxgi.rs, libs/scrap/src/common/mod.rs, libs/scrap/src/common/quartz.rs, libs/scrap/src/common/vpxcodec.rs, libs/scrap/src/common/wayland.rs, libs/scrap/src/common/x11.rs, libs/scrap/src/x11/capturer.rs, src/server/connection.rs, src/server/portable_service.rs"
6274,6274,2023-11-03T03:30:52Z,KagamineP,Update ru.rs,,,src/lang/ru.rs
6271,6271,2023-11-03T00:25:30Z,Kleofass,Update lv.rs,,,src/lang/lv.rs
6270,6270,2023-11-02T23:56:33Z,dignow,"fix, android rotate screen","Fix, rotate android, then the image is distorted. This bug on Android is introduced since ""1.2.4"", ""1.2.3"" works fine.


https://github.com/rustdesk/rustdesk/assets/136106582/5bf0b7c4-1418-451c-8e0b-4701b4c67f32


```rust
-    #[cfg(not(any(target_os = ""android"", target_os = ""ios"")))]
+   #[cfg(not(target_os = ""ios""))]
     server.add_service(Box::new(display_service::new()));
```


https://github.com/rustdesk/rustdesk/assets/136106582/95409895-a709-43e5-8df2-0653624eac5d

",,"libs/clipboard/src/lib.rs, libs/clipboard/src/platform/windows.rs, src/server.rs, src/server/display_service.rs"
6267,6267,2023-11-02T15:16:18Z,flusheDData,Update es.rs,New terms added,,src/lang/es.rs
6266,6266,2023-11-02T14:28:39Z,sahilyeole,Feat: mobile uni link support (android + ios),"https://github.com/rustdesk/rustdesk/discussions/4669
Connect to ID using uni/deep link on mobile

Format: `rustdesk://[id]` or `rustdesk://connection/new/[id]` or `rustdesk://connect/[id]` or `rustdesk://play/[id]`
Ex: `rustdesk://13423325234` or `rustdesk://connection/new/13423325234`...

**File transfer:**
Format: `rustdesk://file-transfer/[id]`
Ex: `rustdesk://file-transfer/13423325234`

Works on cold boot as well as when the app is running in the background.


https://github.com/rustdesk/rustdesk/assets/73148455/acc800f1-8e6a-44ee-8f90-937ba6991b6f


https://github.com/rustdesk/rustdesk/assets/73148455/206397fc-e1fb-46df-a19b-128572ae8968

https://github.com/rustdesk/rustdesk/assets/73148455/39148305-58e1-48f0-93f4-ce449bdba0ab",xlionjuan,"flutter/android/app/src/main/AndroidManifest.xml, flutter/ios/Runner/Info.plist, flutter/lib/common.dart, flutter/lib/main.dart, flutter/lib/mobile/pages/connection_page.dart"
6264,6264,2023-11-02T06:37:00Z,fufesou,"fix, win crash, tokio 1.28.1 to 1.33.0, revert","Crate `tokio 1.33.1` causes crash on Windows sometimes on startup.

![cafc7a717a07a8ff33ec32ff38268bb](https://github.com/rustdesk/rustdesk/assets/13586388/2b38779a-df50-42c7-8dab-7d8ba571998f)


https://github.com/rustdesk/rustdesk/blob/8e0bce4da4b8f05b5e91feb7c57002b8621cb8ce/src/ipc.rs#L249
 ",fufesou,"Cargo.lock, libs/hbb_common/Cargo.toml"
6263,6263,2023-11-02T06:05:53Z,xalt7x,Update Ukrainian translation,,,src/lang/ua.rs
6262,6262,2023-11-02T01:50:14Z,rustdesk,"Revert ""Fixes for Android (ndk r26b)""",Reverts rustdesk/rustdesk#6257,rustdesk,"build.rs, flutter/build_android_deps.sh"
6260,6260,2023-11-01T13:04:32Z,fufesou,fix build,,rustdesk,src/flutter.rs
6258,6258,2023-11-01T12:04:38Z,fufesou,"fix, remove unused capturer when switching display","1. Fix. Remove unused capturer when switching display.
2. Show ""Resolutions"" menu when `pi.currentDisplay != kAllDisplayValue`.
3. Refactor ""handlePeerInfo()"", check if the peer side `isSupportMultiUiSession`.
4. Check is installed before plug in virtual display when detecting no displays.
",,"flutter/lib/desktop/widgets/remote_toolbar.dart, flutter/lib/models/model.dart, src/flutter.rs, src/flutter_ffi.rs, src/server/connection.rs, src/server/display_service.rs"
6257,6257,2023-11-01T09:54:52Z,basilgello,Fixes for Android (ndk r26b),"- Refactor build_android_deps.sh
- Fix build on android-x86 and rename function
",basilgello,"build.rs, flutter/build_android_deps.sh"
6256,6256,2023-11-01T09:20:40Z,21pages,"Revert ""fix android ci, replace use with try-finally""","This reverts commit dfe96eb30c4dfd34c424c0c297e672a8aca4904a.

bump Kotlin solve that problem.

https://github.com/21pages/rustdesk/actions/runs/6717526393",,flutter/android/app/src/main/kotlin/com/carriez/flutter_hbb/MainService.kt
6253,6253,2023-11-01T07:12:24Z,21pages,upgrade desktop_drop to fix windows crash on close on flutter 3.13,"https://github.com/MixinNetwork/flutter-plugins/pull/276

Since based on macos 10.14 now, we can use the one on pub.dev
https://github.com/MixinNetwork/flutter-plugins/compare/main...rustdesk-org:flutter-plugins:main",,"flutter/pubspec.lock, flutter/pubspec.yaml"
6251,6251,2023-11-01T03:58:53Z,21pages,"opt ""True color"" translation","add space, change to ""True color (4:4:4)""",,"flutter/lib/common/widgets/toolbar.dart, flutter/lib/desktop/pages/desktop_setting_page.dart, flutter/lib/mobile/pages/settings_page.dart, src/lang/ar.rs, src/lang/ca.rs, src/lang/cn.rs, src/lang/cs.rs, src/lang/da.rs, src/lang/de.rs, src/lang/el.rs, src/lang/eo.rs, src/lang/es.rs, src/lang/fa.rs, src/lang/fr.rs, src/lang/hu.rs, src/lang/id.rs, src/lang/it.rs, src/lang/ja.rs, src/lang/ko.rs, src/lang/kz.rs, src/lang/lt.rs, src/lang/lv.rs, src/lang/nl.rs, src/lang/pl.rs, src/lang/pt_PT.rs, src/lang/ptbr.rs, src/lang/ro.rs, src/lang/ru.rs, src/lang/sk.rs, src/lang/sl.rs"
6250,6250,2023-11-01T02:30:34Z,21pages,"fix android ci, replace use with try-finally","https://github.com/21pages/rustdesk/actions/runs/6714782498
",,flutter/android/app/src/main/kotlin/com/carriez/flutter_hbb/MainService.kt
6249,6249,2023-11-01T02:09:24Z,fufesou,fix flutter_rust_bridge pub version,,,flutter/pubspec.yaml
6247,6247,2023-10-31T19:53:58Z,sahilyeole,Fix small tiles view not restored ,fixes https://github.com/rustdesk/rustdesk/issues/6234,,flutter/lib/common/widgets/peer_tab_page.dart
6246,6246,2023-10-31T19:10:56Z,Mr-Update,Update de.rs,,,src/lang/de.rs
6244,6244,2023-10-31T18:10:48Z,bovirus,Update Italian language,"@rustdesk 

Please check and merge, Thanks. KR.",,src/lang/it.rs
6243,6243,2023-10-31T11:16:39Z,fufesou,"fix, remote toolbar, border radius","![image](https://github.com/rustdesk/rustdesk/assets/13586388/2ed6c32c-e8fa-42a4-b6e6-8e3f31b1b19b)

![image](https://github.com/rustdesk/rustdesk/assets/13586388/022b82d8-4f83-4104-bd41-02aa346e0a17)
",,flutter/lib/desktop/widgets/remote_toolbar.dart
6242,6242,2023-10-31T08:58:41Z,fufesou,"refact, remote toolbar, border","<img width=""216"" alt=""1698742365498"" src=""https://github.com/rustdesk/rustdesk/assets/13586388/48ab22de-dfb1-48d8-87ba-535dbf535249"">

<img width=""206"" alt=""1698742662196"" src=""https://github.com/rustdesk/rustdesk/assets/13586388/4dd6ab32-de30-4b2f-bb37-debdcf10b17e"">
",,flutter/lib/desktop/widgets/remote_toolbar.dart
6239,6239,2023-10-31T06:52:36Z,fufesou,"refact, remote toolbar, monitors menu","https://github.com/rustdesk/rustdesk/assets/13586388/a72a340b-0e95-4d75-b36c-488c86078567


![image](https://github.com/rustdesk/rustdesk/assets/13586388/78e65003-f9a1-49a9-8158-1036d13df9ef)


## Updated Style

![image](https://github.com/rustdesk/rustdesk/assets/13586388/57ac51a9-e6f2-478c-bc01-b58e48a8e7d0)

![image](https://github.com/rustdesk/rustdesk/assets/13586388/2e964b06-9de6-46fd-9629-1604852f5be0)
",,flutter/lib/desktop/widgets/remote_toolbar.dart
